iter	Logloss
0	0.6848314289
1	0.6753555172
2	0.6681565795
3	0.6597388016
4	0.6528460441
5	0.6455496263
6	0.6391490304
7	0.6331684867
8	0.6263367035
9	0.6188411764
10	0.6130259541
11	0.6063771554
12	0.6005130484
13	0.5941045042
14	0.5880202135
15	0.5818759277
16	0.5764593599
17	0.5707662619
18	0.5645297397
19	0.5587394071
20	0.553155572
21	0.5486724064
22	0.5436299813
23	0.5380500832
24	0.5332309406
25	0.5286475854
26	0.524135578
27	0.5196026739
28	0.5143547545
29	0.5098559277
30	0.5060693156
31	0.5020660754
32	0.4981103857
33	0.4949541097
34	0.4908069883
35	0.4872779872
36	0.4824406464
37	0.477988695
38	0.4742586854
39	0.4698883456
40	0.4684384786
41	0.4654795337
42	0.4623989846
43	0.4601178257
44	0.4563132872
45	0.4527404708
46	0.4493481353
47	0.4467615371
48	0.4443948038
49	0.4424215051
50	0.4396727371
51	0.4382453703
52	0.4360134843
53	0.4325617126
54	0.4299076547
55	0.4270626021
56	0.4243434847
57	0.4234036527
58	0.4203272299
59	0.4174182382
60	0.4158441517
61	0.413354654
62	0.4107978453
63	0.4083750132
64	0.4068399425
65	0.4048054675
66	0.4028350332
67	0.4006236168
68	0.398472408
69	0.3960236755
70	0.3938681189
71	0.3920373225
72	0.3894056724
73	0.3870216374
74	0.3854884558
75	0.3837938173
76	0.3820304253
77	0.3801563618
78	0.3789957376
79	0.3779562208
80	0.3758996804
81	0.3742616863
82	0.3729686236
83	0.3711564148
84	0.3700596385
85	0.3686288295
86	0.3677032905
87	0.3662161369
88	0.3647949928
89	0.3629887562
90	0.3617075916
91	0.3604452894
92	0.3587452669
93	0.3574857058
94	0.3561717559
95	0.3548998728
96	0.3534851093
97	0.3523730437
98	0.3506863905
99	0.3486943165
100	0.3477664091
101	0.3461779669
102	0.3445857344
103	0.3436120405
104	0.3427915247
105	0.3418602139
106	0.3404575201
107	0.3392272633
108	0.3384798034
109	0.3372752498
110	0.3359522961
111	0.334888323
112	0.3331769138
113	0.3321490341
114	0.3311880147
115	0.3302668553
116	0.3292741963
117	0.3280460876
118	0.3269073105
119	0.3260018562
120	0.3249241903
121	0.3236660176
122	0.3227729333
123	0.3219663818
124	0.3207425296
125	0.3196538367
126	0.3183755761
127	0.317190765
128	0.3162484681
129	0.3153787423
130	0.3145776338
131	0.3138058679
132	0.3129842985
133	0.3117059702
134	0.3113459573
135	0.3104827605
136	0.3098595797
137	0.3089048162
138	0.3080230938
139	0.3072766718
140	0.3064097193
141	0.305751842
142	0.3048914713
143	0.3038421626
144	0.3030259474
145	0.3021157255
146	0.3013092742
147	0.3006300864
148	0.2999450279
149	0.2992774835
150	0.2984505036
151	0.298050936
152	0.2971203882
153	0.2963504259
154	0.2956216031
155	0.2953513668
156	0.2946102122
157	0.2938517261
158	0.2932461106
159	0.2925606639
160	0.2920595835
161	0.29151681
162	0.2906552131
163	0.2901343705
164	0.2892330089
165	0.2887235005
166	0.2878413328
167	0.2876097868
168	0.2871190329
169	0.286558625
170	0.2857687079
171	0.2849551961
172	0.284223887
173	0.2836796192
174	0.2829418763
175	0.2819070044
176	0.2812091271
177	0.280805571
178	0.2802044943
179	0.2796143383
180	0.2790683125
181	0.2785565566
182	0.2781707191
183	0.2776245924
184	0.2768916078
185	0.2763683645
186	0.2759887924
187	0.2754026744
188	0.2747680465
189	0.2739891947
190	0.2736654853
191	0.2727683126
192	0.272307382
193	0.2716460019
194	0.2709475455
195	0.2704998267
196	0.2701742872
197	0.2696219791
198	0.269256064
199	0.268899681
200	0.2681780674
201	0.2675463954
202	0.2672040658
203	0.266818102
204	0.2660482851
205	0.2656589654
206	0.2651562501
207	0.2646711457
208	0.2640686246
209	0.2635602141
210	0.2630183607
211	0.2626345138
212	0.2620571806
213	0.2616121443
214	0.2609704783
215	0.2606505751
216	0.2601559238
217	0.2597214559
218	0.2594738429
219	0.2592305895
220	0.259134115
221	0.2587253288
222	0.2582566298
223	0.2577742801
224	0.257305003
225	0.2569566865
226	0.2565594934
227	0.256196187
228	0.2558896444
229	0.2554887195
230	0.2552175843
231	0.2547648442
232	0.2541794541
233	0.2536354145
234	0.2533228794
235	0.2526753108
236	0.2519218825
237	0.2516656654
238	0.2513499616
239	0.2509608211
240	0.2504902097
241	0.2500535673
242	0.2496519516
243	0.2492528592
244	0.2488806741
245	0.2484856129
246	0.248210675
247	0.2477378457
248	0.2474079214
249	0.2470857683
250	0.2465608003
251	0.2461350417
252	0.2458120278
253	0.2455644642
254	0.2452858253
255	0.244951898
256	0.2445996114
257	0.2442201006
258	0.2437327114
259	0.2432718707
260	0.2428949217
261	0.2424336853
262	0.2422438013
263	0.2422091715
264	0.2417333806
265	0.2414285722
266	0.2411638049
267	0.240746488
268	0.2402907642
269	0.2400401904
270	0.2397159865
271	0.2392185381
272	0.2388380138
273	0.2384146957
274	0.2381398771
275	0.2378070942
276	0.237779526
277	0.2373791067
278	0.237349099
279	0.2371844091
280	0.2368760442
281	0.2366528107
282	0.2364015455
283	0.2361684783
284	0.235866944
285	0.2354798408
286	0.2351422209
287	0.2349271607
288	0.234712378
289	0.2343869083
290	0.2341941036
291	0.2339276611
292	0.2336731244
293	0.2333543923
294	0.233037956
295	0.2328501789
296	0.2322977319
297	0.2320225637
298	0.2317822914
299	0.2314977915
300	0.2312367589
301	0.2309011667
302	0.2308328935
303	0.2305330437
304	0.2303661564
305	0.2301912361
306	0.2298564928
307	0.2294218537
308	0.2290621509
309	0.2288395277
310	0.2284035965
311	0.228055703
312	0.2275713745
313	0.2272451105
314	0.2269866188
315	0.2268329618
316	0.2266044055
317	0.2262614571
318	0.2260646944
319	0.2258396601
320	0.2256081825
321	0.2253722849
322	0.2251622784
323	0.2249860355
324	0.2243395116
325	0.2243097531
326	0.2239573335
327	0.2237590503
328	0.2232363511
329	0.2228770079
330	0.2225925706
331	0.2223980761
332	0.2221167323
333	0.2217455293
334	0.2215559537
335	0.2211587488
336	0.2208798338
337	0.2205114045
338	0.2202998138
339	0.2202165585
340	0.2197643824
341	0.2194690691
342	0.2191901212
343	0.2189650283
344	0.2186217351
345	0.218364057
346	0.2180935779
347	0.2177093784
348	0.2174519972
349	0.216995697
350	0.2167236318
351	0.2163938505
352	0.2161981161
353	0.2159772019
354	0.2155690646
355	0.2151034432
356	0.2147492469
357	0.2144490097
358	0.2142029189
359	0.2140523367
360	0.2138998109
361	0.2135081415
362	0.2132770315
363	0.213062839
364	0.2128497597
365	0.2125047749
366	0.2122128675
367	0.2120807786
368	0.2119727071
369	0.2115967737
370	0.2113864636
371	0.2112229723
372	0.2109180142
373	0.210683998
374	0.2105361271
375	0.2101943256
376	0.2100196374
377	0.2096557981
378	0.2094183001
379	0.2091952857
380	0.209093269
381	0.20885147
382	0.2086139688
383	0.2083745029
384	0.2081822785
385	0.2080415684
386	0.2078329699
387	0.2076099942
388	0.2074781708
389	0.2071688893
390	0.2069753463
391	0.2067259828
392	0.2065101959
393	0.2061232327
394	0.2057155466
395	0.2054342152
396	0.2052148782
397	0.2050191308
398	0.2048491327
399	0.2047026465
400	0.2045038736
401	0.2043063144
402	0.2041190889
403	0.2038983018
404	0.2036810374
405	0.2035034962
406	0.2032718485
407	0.203118082
408	0.2028802464
