iter	Passed	Remaining
0	131	131815
1	133	66597
2	135	44879
3	136	33984
4	138	27495
5	139	23139
6	141	20022
7	142	17656
8	143	15844
9	145	14398
10	146	13212
11	148	12218
12	149	11383
13	151	10674
14	153	10047
15	154	9501
16	156	9027
17	157	8597
18	159	8217
19	160	7869
20	162	7555
21	163	7250
22	164	6990
23	166	6752
24	167	6533
25	169	6331
26	170	6144
27	172	5973
28	173	5815
29	175	5662
30	176	5519
31	178	5386
32	179	5261
33	181	5143
34	182	5033
35	183	4922
36	185	4825
37	186	4732
38	188	4644
39	189	4559
40	190	4463
41	192	4386
42	193	4314
43	194	4231
44	196	4164
45	197	4100
46	199	4041
47	200	3983
48	202	3923
49	203	3859
50	204	3807
51	205	3746
52	206	3693
53	208	3647
54	209	3603
55	211	3561
56	212	3520
57	213	3468
58	215	3434
59	217	3400
60	218	3364
61	220	3330
62	221	3296
63	223	3263
64	224	3225
65	225	3194
66	227	3165
67	228	3137
68	230	3110
69	232	3082
70	233	3055
71	234	3028
72	236	3002
73	237	2978
74	239	2953
75	240	2930
76	242	2906
77	243	2883
78	245	2863
79	246	2835
80	248	2816
81	249	2797
82	251	2780
83	253	2762
84	254	2739
85	256	2722
86	257	2702
87	259	2687
88	261	2671
89	262	2656
90	264	2640
91	266	2625
92	267	2610
93	269	2596
94	271	2581
95	272	2567
96	274	2554
97	276	2542
98	277	2529
99	279	2516
100	281	2502
101	282	2490
102	284	2478
103	286	2465
104	287	2452
105	289	2440
106	291	2428
107	292	2417
108	294	2406
109	295	2394
110	297	2382
111	299	2371
112	300	2361
113	302	2352
114	304	2342
115	306	2333
116	308	2324
117	309	2316
118	311	2307
119	313	2296
120	314	2285
121	316	2275
122	317	2265
123	319	2255
124	320	2246
125	322	2236
126	323	2226
127	325	2217
128	327	2208
129	328	2198
130	330	2189
131	331	2180
132	333	2170
133	334	2161
134	335	2149
135	337	2141
136	338	2132
137	340	2124
138	341	2116
139	343	2108
140	344	2100
141	346	2092
142	347	2084
143	349	2076
144	351	2069
145	352	2062
146	354	2055
147	355	2047
148	357	2039
149	358	2032
150	360	2024
151	361	2018
152	363	2011
153	365	2005
154	367	2000
155	368	1991
156	369	1985
157	371	1978
158	372	1971
159	374	1964
160	375	1958
161	377	1951
162	378	1944
163	380	1938
164	381	1931
165	383	1926
166	384	1920
167	385	1911
168	387	1905
169	388	1898
170	390	1892
171	391	1886
172	393	1880
173	394	1874
174	396	1869
175	398	1863
176	399	1859
177	401	1854
178	403	1848
179	404	1843
180	406	1838
181	407	1832
182	409	1827
183	410	1821
184	412	1816
185	413	1811
186	415	1806
187	417	1801
188	418	1796
189	420	1791
190	421	1786
191	423	1781
192	424	1775
193	426	1770
194	427	1766
195	429	1761
196	430	1756
197	432	1751
198	434	1747
199	435	1742
200	436	1737
201	438	1732
202	439	1727
203	441	1722
204	442	1717
205	444	1713
206	446	1708
207	447	1703
208	448	1699
209	450	1694
210	451	1690
211	453	1685
212	455	1681
213	456	1677
214	458	1672
215	459	1668
216	461	1664
217	463	1661
218	464	1657
219	466	1653
220	467	1647
221	468	1643
222	470	1639
223	472	1635
224	473	1631
225	475	1627
226	476	1623
227	478	1619
228	479	1615
229	481	1611
230	482	1607
231	484	1603
232	486	1599
233	487	1595
234	488	1591
235	490	1587
236	492	1584
237	493	1579
238	494	1576
239	496	1572
240	498	1568
241	499	1564
242	500	1560
243	502	1556
244	504	1553
245	505	1550
246	507	1546
247	508	1542
248	510	1539
249	511	1535
250	513	1531
251	514	1528
252	516	1524
253	517	1521
254	519	1517
255	520	1514
256	522	1510
257	524	1507
258	525	1504
259	527	1500
260	528	1497
261	530	1493
262	531	1490
263	532	1484
264	534	1481
265	535	1478
266	537	1474
267	538	1470
268	540	1467
269	541	1464
270	543	1460
271	544	1457
272	546	1454
273	547	1451
274	549	1447
275	550	1444
276	551	1439
277	553	1436
278	553	1431
279	555	1428
280	556	1424
281	558	1421
282	559	1418
283	561	1415
284	563	1412
285	564	1409
286	566	1406
287	567	1403
288	569	1400
289	570	1397
290	572	1393
291	573	1390
292	575	1387
293	576	1384
294	578	1381
295	579	1378
296	581	1375
297	582	1372
298	584	1369
299	585	1366
300	587	1363
301	588	1360
302	589	1356
303	591	1353
304	592	1350
305	594	1347
306	595	1344
307	597	1342
308	599	1339
309	600	1336
310	602	1334
311	603	1331
312	605	1328
313	606	1325
314	608	1322
315	609	1319
316	611	1316
317	612	1313
318	614	1310
319	615	1308
320	617	1305
321	618	1302
322	620	1299
323	621	1296
324	623	1294
325	624	1290
326	625	1287
327	627	1284
328	628	1282
329	630	1279
330	631	1276
331	633	1274
332	634	1271
333	636	1268
334	637	1265
335	639	1263
336	640	1260
337	642	1258
338	643	1255
339	645	1252
340	646	1250
341	648	1247
342	649	1244
343	651	1242
344	652	1239
345	654	1237
346	655	1234
347	657	1232
348	659	1229
349	660	1226
350	662	1224
351	663	1221
352	664	1218
353	666	1216
354	668	1214
355	669	1211
356	671	1209
357	672	1206
358	674	1204
359	676	1201
360	677	1199
361	679	1196
362	680	1194
363	682	1191
364	683	1189
365	685	1186
366	686	1184
367	688	1181
368	689	1179
369	691	1176
370	692	1174
371	694	1171
372	695	1169
373	697	1166
374	698	1164
375	700	1161
376	701	1159
377	703	1156
378	704	1154
379	706	1152
380	707	1149
381	709	1147
382	710	1144
383	711	1142
384	713	1139
385	715	1137
386	716	1135
387	718	1132
388	719	1130
389	721	1127
390	722	1125
391	724	1123
392	725	1120
393	727	1118
394	728	1115
395	729	1113
396	731	1111
397	733	1108
398	734	1106
399	736	1104
400	737	1101
401	739	1099
402	740	1097
403	742	1094
404	743	1092
405	745	1090
406	746	1087
407	748	1085
408	749	1083
409	751	1080
410	752	1078
411	754	1076
412	755	1074
413	757	1071
414	758	1069
415	760	1067
416	761	1065
417	763	1062
418	764	1060
419	766	1058
420	767	1055
421	769	1053
422	770	1050
423	771	1048
424	773	1046
425	774	1044
426	776	1041
427	777	1039
428	779	1037
429	780	1035
430	782	1032
431	783	1030
432	785	1028
433	786	1025
434	788	1023
435	789	1021
436	791	1019
437	792	1017
438	794	1014
439	795	1012
440	797	1010
441	798	1008
442	800	1006
443	801	1003
444	803	1001
445	804	999
446	805	997
447	807	994
448	809	992
449	810	990
450	812	988
451	813	986
452	814	984
453	816	982
454	818	980
455	819	977
456	821	975
457	822	973
458	824	971
459	826	969
460	827	967
461	829	965
462	830	963
463	832	961
464	833	958
465	835	956
466	836	954
467	837	952
468	839	950
469	840	948
470	842	946
471	843	944
472	845	942
473	846	939
474	848	937
475	849	935
476	850	932
477	852	930
478	853	928
479	855	926
480	856	924
481	858	922
482	859	920
483	861	918
484	862	916
485	864	914
486	865	912
487	867	910
488	868	907
489	870	905
490	872	904
491	873	901
492	875	899
493	876	897
494	878	895
495	879	893
496	880	891
497	882	889
498	883	887
499	885	885
500	886	883
501	888	881
502	889	879
503	891	877
504	892	875
505	894	873
506	896	871
507	897	869
508	899	867
509	900	865
510	902	863
511	903	861
512	905	859
513	906	857
514	908	855
